province,split,month,h,actual,stage1_mean,stage1_se,stage2_zhat,stage2_correction,stage2_abstained,final_mean_unclipped,final_mean,final_se,crps,fit_failed,error
LA-XE,1,2008-06,3,5.0,0.7473829215831951,2.0632135486702015,0.04374221637760252,0.0902495334791331,False,0.8376324550623282,0.8376324550623282,2.0632135486702015,3.0317583297733774,False,
LA-XI,1,2008-04,1,0.0,0.03692613783219577,0.23274649919618887,-0.25501436545396794,-0.05935370080414856,False,-0.022427562971952794,0.0,0.23274649919618887,0.05439168783585963,False,
LA-XI,1,2008-05,2,0.0,0.036059524538657725,0.2327618221179713,-0.0327696747825071,-0.007627529212589687,False,0.02843199532606804,0.02843199532606804,0.2327618221179713,0.05577906916682241,False,
LA-XI,1,2008-06,3,1.0,0.03607986293970984,0.23276297513791253,0.1288911347647557,0.030001083996746163,False,0.066080946936456,0.066080946936456,0.23276297513791253,0.8025997563955944,False,
LA-XN,1,2008-04,1,,1.9264514601027207,4.148958135992652,-0.2020200462085695,-0.838172714350656,False,1.0882787457520648,1.0882787457520648,4.148958135992652,,False,
LA-XN,1,2008-05,2,,1.9264514470849434,4.153720599767634,0.003269576763704763,0.013580908355922065,False,1.9400323554408654,1.9400323554408654,4.153720599767634,,False,
LA-XN,1,2008-06,3,,1.9264514472811067,4.15847760929299,0.15022824410499241,0.6247207893940125,False,2.5511722366751193,2.5511722366751193,4.15847760929299,,False,
LA-AT,2,2008-07,1,6.0,5.459756750625248,18.89178816023257,0.47271311605057037,8.93039604899081,False,14.390152799616057,14.390152799616057,18.89178816023257,5.877496359248153,False,
LA-AT,2,2008-08,2,11.0,4.6622703190376455,19.245011557062316,0.3201941348780931,6.1621398262324725,False,10.824410145270118,10.824410145270118,19.245011557062316,4.498101665913067,False,
LA-AT,2,2008-09,3,24.0,4.362871799395936,19.273087013699882,0.24545063082675037,4.730591365491486,False,9.093463164887423,9.093463164887423,19.273087013699882,8.887269339104058,False,
LA-BK,2,2008-07,1,2.0,73.11411427880076,4.442028923635535,-1.2082150317206177,-5.366926116874209,False,67.74718816192654,67.74718816192654,4.442028923635535,63.24104171339352,False,
LA-BK,2,2008-08,2,9.0,83.71338982368334,7.951071300411221,-1.6676559920794438,-13.259651697581669,False,70.45373812610167,70.45373812610167,7.951071300411221,56.96782652036415,False,
LA-BK,2,2008-09,3,33.0,89.19752486576202,11.088468356834797,-2.0007486268546835,-22.18523783885883,False,67.0122870269032,67.0122870269032,11.088468356834797,27.76295585743581,False,
LA-BL,2,2008-07,1,31.0,28.923075892989942,31.2396617549828,0.3638497864008013,11.366544256783774,False,40.28962014977372,40.28962014977372,31.2396617549828,8.394548265753336,False,
LA-BL,2,2008-08,2,32.0,25.031090212568824,37.49741045338484,0.20778081956759809,7.791242675666921,False,32.82233288823574,32.82233288823574,37.49741045338484,8.770150752538395,False,
LA-BL,2,2008-09,3,30.0,43.370544165680926,39.97556569344811,-0.13296928733155186,-5.315522480933429,False,38.055021684747494,38.055021684747494,39.97556569344811,9.987420504331757,False,
LA-CH,2,2008-07,1,162.0,258.5326244744787,64.67673603395158,-0.017556361610142547,-1.1354881655757907,False,257.39713630890293,257.39713630890293,64.67673603395158,62.91962305565202,False,
LA-CH,2,2008-08,2,143.0,247.86130040578115,79.1598042128248,-0.26532249864542057,-21.002877046028964,False,226.85842335975218,226.85842335975218,79.1598042128248,50.96298677070696,False,
LA-CH,2,2008-09,3,185.0,203.64402882953058,85.74533454921553,-0.3223489459083382,-27.639918208497438,False,176.00411062103313,176.00411062103313,85.74533454921553,20.414428790959914,False,
LA-HO,2,2008-07,1,0.0,0.2819050976766924,0.9471802129977438,0.27110254877477424,0.25678296989272187,False,0.5386880675694143,0.5386880675694143,0.9471802129977438,0.3403831655287324,False,
LA-HO,2,2008-08,2,0.0,0.2632929539066991,0.9486993541703217,0.1048559551347518,0.09947677691725125,False,0.36276973082395036,0.36276973082395036,0.9486993541703217,0.27638224445134396,False,
LA-HO,2,2008-09,3,1.0,0.2645217784244884,0.9487418300524846,0.016898367321541576,0.016032187937538456,False,0.28055396636202684,0.28055396636202684,0.9487418300524846,0.4295065494818527,False,
LA-KH,2,2008-07,1,3.0,2.0063215186499526,63.96591249675495,0.622847022943029,39.84097816843811,False,41.84729968708807,41.84729968708807,63.96591249675495,24.081581731695632,False,
LA-KH,2,2008-08,2,0.0,2.4139731049065545,109.1664189646601,0.4573814265426363,49.93069243660734,False,52.34466554151389,52.34466554151389,109.1664189646601,35.33715817439925,False,
LA-KH,2,2008-09,3,4.0,1.575972750596077,137.74304462729486,0.3951845120700942,54.43391788208673,False,56.00989063268281,56.00989063268281,137.74304462729486,39.932604259424956,False,
LA-LM,2,2008-07,1,0.0,0.16029748433325536,0.6952413370810272,0.2892829060331832,0.20112143438519542,False,0.3614189187184508,0.3614189187184508,0.6952413370810272,0.23578521981681835,False,
LA-LM,2,2008-08,2,0.0,0.16752414285522654,0.6962199177710006,0.10991607788058531,0.076525762703732,False,0.24404990555895856,0.24404990555895856,0.6962199177710006,0.19648667143384474,False,
LA-LM,2,2008-09,3,0.0,0.1678499408152532,0.6962341839813994,0.025075045562418782,0.01745810388544705,False,0.18530804470070025,0.18530804470070025,0.6962341839813994,0.182267386445239,False,
LA-LP,2,2008-07,1,16.0,72.53945420901067,40.184268599961726,0.23823220167439826,9.57318678124427,False,82.11264099025495,82.11264099025495,40.184268599961726,45.11869228343306,False,
LA-LP,2,2008-08,2,13.0,40.35769683176315,42.87406038926475,0.2536380056261803,10.874491170229525,False,51.232188001992675,51.232188001992675,42.87406038926475,22.786138960447065,False,
LA-LP,2,2008-09,3,14.0,28.827161169600785,43.27230442891285,0.2591808112395752,11.215350966091494,False,40.04251213569228,40.04251213569228,43.27230442891285,16.183089545092386,False,
LA-OU,2,2008-07,1,0.0,-0.003845135243670742,0.5557615930597336,0.4781847281904872,0.26575670631598086,False,0.2619115710723101,0.2619115710723101,0.5557615930597336,0.17822865359813234,False,
LA-OU,2,2008-08,2,0.0,0.002568898716494304,0.5844766095029081,0.35319057379407925,0.20643162907955012,False,0.20900052779604442,0.20900052779604442,0.5844766095029081,0.16609076246406884,False,
LA-OU,2,2008-09,3,0.0,0.005105984873331131,0.7149754406420245,0.2797329632595384,0.2000021986685877,False,0.20510818354191884,0.20510818354191884,0.7149754406420245,0.19040038087829403,False,
LA-PH,2,2008-07,1,,0.037263804333739006,0.3884530457643232,0.3768986530268659,0.14640742971275691,False,0.18367123404649593,0.18367123404649593,0.3884530457643232,,False,
LA-PH,2,2008-08,2,,0.03726380433373899,0.38845304577675105,0.21167860356569437,0.08222719828086342,False,0.11949100261460241,0.11949100261460241,0.38845304577675105,,False,
LA-PH,2,2008-09,3,,0.03726380433373899,0.38845304578917894,0.13580468882289604,0.05275374500570563,False,0.09001754933944461,0.09001754933944461,0.38845304578917894,,False,
