combination,tier,status,stage1_mean_crps,two_stage_mean_crps,pct_change_vs_stage1,stage1_coverage_90,two_stage_coverage_90,beats_stage1_on_crps,coverage_not_worse,n_splits_improved,n_splits,share_cells_improved,n_cells,informativeness_rank,reason_if_not_run
stage2=g_min_leaf50,2,run,26.052787630892947,25.40667017721603,-2.4800319368157115,0.8274932614555256,0.8517520215633423,True,True,5,8,0.568733153638814,371,9,
stage2=g_no_clip,2,run,26.052787630892947,25.302465551777082,-2.8800068911863606,0.8274932614555256,0.8571428571428571,True,True,5,8,0.5579514824797843,371,9,
stage2=f_alpha1,2,run,26.052787630892947,25.628826202650757,-1.6273169468416664,0.8274932614555256,0.8463611859838275,True,True,4,8,0.5660377358490566,371,10,
stage2=f_alpha100,2,run,26.052787630892947,25.593740070814686,-1.7619901815571182,0.8274932614555256,0.8490566037735849,True,True,4,8,0.5714285714285714,371,10,
stage2=g_no_cross_province,2,run,26.052787630892947,24.532123245543765,-5.836858638290223,0.8274932614555256,0.8598382749326146,True,True,6,8,0.601078167115903,371,10,
stage2=g_warmup12,2,run,26.052787630892947,25.08272331831992,-3.723456876540691,0.8274932614555256,0.8517520215633423,True,True,5,8,0.5741239892183289,371,11,
stage2=g_warmup36,2,run,26.052787630892947,25.24330876131306,-3.107071999543041,0.8274932614555256,0.8544474393530997,True,True,5,8,0.5579514824797843,371,11,
stage1=enforce_stationarity,2,run,26.80453721515349,24.55347304451071,-8.398071388340105,0.8328840970350404,0.8598382749326146,True,True,8,8,0.5902964959568733,371,12,
stage2=g_min_train_rows1000,2,run,26.052787630892947,25.16411721353624,-3.411037735950132,0.8274932614555256,0.8571428571428571,True,True,5,8,0.5660377358490566,371,13,
modelable=36_months,2,run,26.052787630892947,25.16411721353624,-3.411037735950132,0.8274932614555256,0.8571428571428571,True,True,5,8,0.5660377358490566,371,14,
stage1=log1p_transform,3,not_run,,,,,,,,,,,,-,"needs a verified CRPS on the transformed or lognormal scale (an extension of 00_metric); development cost, not compute"
stage1=negative_binomial_family,3,not_run,,,,,,,,,,,,-,needs a verified count-distribution CRPS and a different stage-2 contract (correction on a non-Gaussian mean); the most consequential fork not run
stage2=g_multiplicative,3,not_run,,,,,,,,,,,,-,undefined where stage 1's mean is near or below zero; needs a design decision
stage2=g_enso_covariate,3,not_run,,,,,,,,,,,,-,a new data acquisition and a data-governance decision (plan §4); human call
evaluation=chap_native,3,not_run,,,,,,,,,,,,-,"decided against in plan §4 (agent-autonomous, batch 1); reopening it is a plan change, not a perturbation"
