model,against,split_first_period,n_cells,mean_diff,crps_model,crps_against
ensemble,reference_r4,200907,47,-13.617894042553194,42.47517780851064,56.09307185106383
ensemble,reference_r4,200910,48,-2.639009625000001,21.855950791666668,24.494960416666668
climatology,reference,200801,45,0.12651110555555528,5.359555555555555,5.2330444499999995
climatology,reference,200804,45,6.919423877777778,26.23410315555556,19.314679277777778
climatology,reference,200807,45,11.888459999999997,33.693777777777775,21.80531777777778
climatology,reference,200810,45,4.263748233333335,21.7052214,17.441473166666665
climatology,reference,200901,48,0.18104366666666685,5.830577854166666,5.6495341875
climatology,reference,200904,48,-3.7256965104166664,20.965904208333335,24.69160071875
climatology,reference,200907,47,-5.26450546276596,51.11837406382978,56.382879526595744
climatology,reference,200910,48,5.247804520833333,29.698516229166668,24.450711708333333
climatology,reference_r1,200801,45,-0.8668507777777781,5.359555555555555,6.226406333333333
climatology,reference_r1,200804,45,6.945241199999999,26.23410315555556,19.288861955555554
climatology,reference_r1,200807,45,11.666199422222217,33.693777777777775,22.02757835555556
climatology,reference_r1,200810,45,5.14197668888889,21.7052214,16.56324471111111
climatology,reference_r1,200901,48,0.12833525000000004,5.830577854166666,5.702242604166667
climatology,reference_r1,200904,48,-3.542337958333332,20.965904208333335,24.508242166666665
climatology,reference_r1,200907,47,-6.250701638297878,51.11837406382978,57.36907570212767
climatology,reference_r1,200910,48,5.5049290416666645,29.698516229166668,24.1935871875
climatology,reference_r2,200801,45,0.4437481999999995,5.359555555555555,4.915807355555556
climatology,reference_r2,200804,45,6.930917333333332,26.23410315555556,19.303185822222222
climatology,reference_r2,200807,45,11.730993688888882,33.693777777777775,21.962784088888895
climatology,reference_r2,200810,45,3.8999934666666687,21.7052214,17.80522793333333
climatology,reference_r2,200901,48,0.19594595833333314,5.830577854166666,5.6346318958333335
climatology,reference_r2,200904,48,-3.6580051666666673,20.965904208333335,24.623909375
climatology,reference_r2,200907,47,-4.989648085106383,51.11837406382978,56.10802214893617
climatology,reference_r2,200910,48,5.284203437499999,29.698516229166668,24.414312791666664
climatology,reference_r3,200801,45,0.4823135333333335,5.359555555555555,4.877242022222222
climatology,reference_r3,200804,45,7.055431022222222,26.23410315555556,19.178672133333333
climatology,reference_r3,200807,45,12.444689644444447,33.693777777777775,21.24908813333333
climatology,reference_r3,200810,45,3.9786573111111125,21.7052214,17.72656408888889
climatology,reference_r3,200901,48,0.2044755624999998,5.830577854166666,5.626102291666666
climatology,reference_r3,200904,48,-3.9097696249999987,20.965904208333335,24.875673833333334
climatology,reference_r3,200907,47,-4.842974340425534,51.11837406382978,55.96134840425532
climatology,reference_r3,200910,48,4.998529791666667,29.698516229166668,24.6999864375
climatology,reference_r4,200801,45,0.44683346666666623,5.359555555555555,4.912722088888889
climatology,reference_r4,200804,45,6.746105955555557,26.23410315555556,19.4879972
climatology,reference_r4,200807,45,11.71195724444444,33.693777777777775,21.981820533333334
climatology,reference_r4,200810,45,4.034365466666667,21.7052214,17.670855933333335
climatology,reference_r4,200901,48,0.19541789583333347,5.830577854166666,5.6351599583333325
climatology,reference_r4,200904,48,-3.7926732916666666,20.965904208333335,24.7585775
climatology,reference_r4,200907,47,-4.974697787234045,51.11837406382978,56.09307185106383
climatology,reference_r4,200910,48,5.2035558124999985,29.698516229166668,24.494960416666668
persistence,reference,200801,45,1.3787747277777775,6.611819177777777,5.2330444499999995
persistence,reference,200804,45,0.9893997222222228,20.304079,19.314679277777778
persistence,reference,200807,45,11.35496991111111,33.16028768888889,21.80531777777778
persistence,reference,200810,45,1.5608208555555574,19.002294022222223,17.441473166666665
