weighting,location,time_period,weight
cases,LA-SV,200810,10.0
cases,LA-SV,200811,2.0
cases,LA-SV,200812,0.0
cases,LA-SV,200901,0.0
cases,LA-SV,200902,0.0
cases,LA-SV,200903,0.0
cases,LA-SV,200904,0.0
cases,LA-SV,200905,0.0
cases,LA-SV,200906,1.0
cases,LA-SV,200907,13.0
cases,LA-SV,200908,34.0
cases,LA-SV,200909,48.0
cases,LA-SV,200910,16.0
cases,LA-SV,200911,33.0
cases,LA-SV,200912,4.0
cases,LA-VT,200801,29.0
cases,LA-VT,200802,12.0
cases,LA-VT,200803,26.0
cases,LA-VT,200804,4.0
cases,LA-VT,200805,17.0
cases,LA-VT,200806,60.0
cases,LA-VT,200807,132.0
cases,LA-VT,200808,144.0
cases,LA-VT,200809,158.0
cases,LA-VT,200810,95.0
cases,LA-VT,200811,129.0
cases,LA-VT,200812,91.0
cases,LA-VT,200901,38.0
cases,LA-VT,200902,20.0
cases,LA-VT,200903,19.0
cases,LA-VT,200904,33.0
cases,LA-VT,200905,54.0
cases,LA-VT,200906,104.0
cases,LA-VT,200907,302.0
cases,LA-VT,200908,356.0
cases,LA-VT,200909,470.0
cases,LA-VT,200910,527.0
cases,LA-VT,200911,521.0
cases,LA-VT,200912,366.0
cases,LA-XA,200801,0.0
cases,LA-XA,200802,0.0
cases,LA-XA,200803,0.0
cases,LA-XA,200804,0.0
cases,LA-XA,200805,2.0
cases,LA-XA,200806,6.0
cases,LA-XA,200807,19.0
cases,LA-XA,200808,7.0
cases,LA-XA,200809,1.0
cases,LA-XA,200810,3.0
cases,LA-XA,200811,2.0
cases,LA-XA,200812,1.0
cases,LA-XA,200901,0.0
cases,LA-XA,200902,0.0
cases,LA-XA,200903,0.0
cases,LA-XA,200904,0.0
cases,LA-XA,200905,1.0
cases,LA-XA,200906,14.0
cases,LA-XA,200907,11.0
cases,LA-XA,200908,37.0
cases,LA-XA,200909,11.0
cases,LA-XA,200910,5.0
cases,LA-XA,200911,5.0
cases,LA-XA,200912,0.0
cases,LA-XE,200801,0.0
cases,LA-XE,200802,0.0
cases,LA-XE,200803,0.0
