province,split,month,h,actual,stage1_mean,stage1_se,stage2_zhat,stage2_correction,stage2_abstained,final_mean_unclipped,final_mean,final_se,crps,fit_failed,error
LA-BK,1,2008-04,1,0.0,0.473294023990439,1.8533074055003906,-0.0637045287103637,-0.11806407482282928,False,0.35522994916760975,0.35522994916760975,1.8533074055003906,0.46018902587551647,False,
LA-BK,1,2008-05,2,12.0,0.6463410728300799,1.9790222486855704,-0.09528688792847521,-0.18857487121846095,False,0.45776620161161896,0.45776620161161896,1.9790222486855704,10.425690061830052,False,
LA-BK,1,2008-06,3,53.0,0.7096110056714757,1.9972994809545028,0.04762931749790513,0.09513001111678314,False,0.8047410167882588,0.8047410167882588,1.9972994809545028,51.06840342083188,False,
LA-BL,1,2008-04,1,3.0,10.296096808465538,31.656424755814268,-0.1628854272967962,-5.156370273039684,False,5.139726535425854,5.139726535425854,31.656424755814268,7.455624035733127,False,
LA-BL,1,2008-05,2,15.0,13.528545564122764,37.996204476750165,-0.15246329249251206,-5.793026436744056,False,7.735519127378708,7.735519127378708,37.996204476750165,9.431928818840635,False,
LA-BL,1,2008-06,3,19.0,20.25950459931389,40.50708719474455,-0.06415579648122778,-2.5987644421133793,False,17.66074015720051,17.66074015720051,40.50708719474455,9.483966012491202,False,
LA-CH,1,2008-04,1,69.0,97.98646907627938,63.17242882385317,0.13139978935198432,8.300843840307529,False,106.2873129165869,106.2873129165869,63.17242882385317,23.296984389019546,False,
LA-CH,1,2008-05,2,113.0,97.9433190208146,77.31302752312375,0.20835402374965598,16.108480372710734,False,114.05179939352533,114.05179939352533,77.31302752312375,18.07337463643179,False,
LA-CH,1,2008-06,3,295.0,108.29910248010837,83.71027054794273,0.6458500845318231,54.06428530957059,False,162.36338778967897,162.36338778967897,83.71027054794273,89.44404822442202,False,
LA-HO,1,2008-04,1,0.0,0.29014350504451,0.9590509815578375,-0.1777529045982609,-0.17047409762971877,False,0.1196694074147912,0.1196694074147912,0.9590509815578375,0.23007477684450942,False,
LA-HO,1,2008-05,2,0.0,0.2703392103541706,0.9606989261079935,-0.1715122631552407,-0.1647716470275913,False,0.10556756332657927,0.10556756332657927,0.9606989261079935,0.22913376024406426,False,
LA-HO,1,2008-06,3,0.0,0.2716909900127283,0.9607464409443158,-0.06897936036764962,-0.06627167497183477,False,0.2054193150408935,0.2054193150408935,0.9607464409443158,0.24197717549679212,False,
LA-KH,1,2008-04,1,0.0,-2.0160646936810735,64.83970614058596,0.051134496245488506,3.3155457102043706,False,1.299481016523297,1.299481016523297,64.83970614058596,15.163103145132117,False,
